"Seed","Gene","Accuracy"
28,"ENSBTAG00000003300-ENSBTAG00000002804",0.7812
28,"ENSBTAG00000025868-ENSBTAG00000013755",0.7812
28,"ENSBTAG00000011851-ENSBTAG00000019866",0.7812
28,"ENSBTAG00000013103-ENSBTAG00000017866",0.7812
28,"ENSBTAG00000007773-ENSBTAG00000018993",0.7812
28,"ENSBTAG00000009565-ENSBTAG00000002804",0.7812
28,"ENSBTAG00000011851-ENSBTAG00000000782",0.7812
28,"ENSBTAG00000005339-ENSBTAG00000015996",0.7812
28,"ENSBTAG00000007897-ENSBTAG00000017489",0.7812
28,"ENSBTAG00000021105-ENSBTAG00000000477",0.7812
28,"ENSBTAG00000010963-ENSBTAG00000009024",0.7812
28,"ENSBTAG00000025868-ENSBTAG00000008165",0.7812
28,"ENSBTAG00000005305-ENSBTAG00000008849",0.7812
28,"ENSBTAG00000017122-ENSBTAG00000011741",0.7812
28,"ENSBTAG00000015978-ENSBTAG00000039292",0.7812
28,"ENSBTAG00000009761-ENSBTAG00000012314",0.7812
28,"ENSBTAG00000000575-ENSBTAG00000011628",0.7812
28,"ENSBTAG00000020457-ENSBTAG00000008997",0.7812
28,"ENSBTAG00000047567-ENSBTAG00000000570",0.7812
28,"ENSBTAG00000004630-ENSBTAG00000003585",0.7812
28,"ENSBTAG00000013201-ENSBTAG00000020319",0.7812
28,"ENSBTAG00000004129-ENSBTAG00000014162",0.7812
28,"ENSBTAG00000000575-ENSBTAG00000019929",0.7812
28,"ENSBTAG00000010738-ENSBTAG00000003220",0.7812
28,"ENSBTAG00000007737-ENSBTAG00000045633",0.7812
28,"ENSBTAG00000021048-ENSBTAG00000019903",0.7812
28,"ENSBTAG00000007740-ENSBTAG00000011154",0.7812
28,"ENSBTAG00000015362-ENSBTAG00000018105",0.7812
28,"ENSBTAG00000016177-ENSBTAG00000011628",0.7812
28,"ENSBTAG00000018103-ENSBTAG00000011154",0.7812
28,"ENSBTAG00000010312-ENSBTAG00000014064",0.7812
28,"ENSBTAG00000003806-ENSBTAG00000016455",0.7812
28,"ENSBTAG00000007737-ENSBTAG00000014064",0.7812
28,"ENSBTAG00000020645-ENSBTAG00000011628",0.7812
28,"ENSBTAG00000017246-ENSBTAG00000006378",0.7812
28,"ENSBTAG00000010663-ENSBTAG00000019929",0.7812
28,"ENSBTAG00000004594-ENSBTAG00000011578",0.7812
28,"ENSBTAG00000014583-ENSBTAG00000011515",0.7812
28,"ENSBTAG00000015362-ENSBTAG00000011909",0.7812
28,"ENSBTAG00000014218-ENSBTAG00000011761",0.7812
28,"ENSBTAG00000013472-ENSBTAG00000019929",0.7812
28,"ENSBTAG00000017564-ENSBTAG00000000561",0.7812
28,"ENSBTAG00000006295-ENSBTAG00000017489",0.7812
28,"ENSBTAG00000030710-ENSBTAG00000013755",0.7812
28,"ENSBTAG00000006396-ENSBTAG00000003798",0.7812
28,"ENSBTAG00000008237-ENSBTAG00000005273",0.7812
28,"ENSBTAG00000007737-ENSBTAG00000011909",0.7812
28,"ENSBTAG00000021457-ENSBTAG00000011986",0.7812
28,"ENSBTAG00000007737-ENSBTAG00000019832",0.7812
28,"ENSBTAG00000012004-ENSBTAG00000008997",0.7812
28,"ENSBTAG00000025644-ENSBTAG00000014773",0.7812
28,"ENSBTAG00000011851-ENSBTAG00000018572",0.7812
28,"ENSBTAG00000025775-ENSBTAG00000017489",0.7812
28,"ENSBTAG00000005691-ENSBTAG00000011578",0.7812
28,"ENSBTAG00000023652-ENSBTAG00000003166",0.7812
28,"ENSBTAG00000017866-ENSBTAG00000008008",0.7812
28,"ENSBTAG00000025644-ENSBTAG00000026813",0.7812
28,"ENSBTAG00000034077-ENSBTAG00000018999",0.7812
28,"ENSBTAG00000037778-ENSBTAG00000039292",0.7812
28,"ENSBTAG00000017280-ENSBTAG00000039292",0.7812
28,"ENSBTAG00000005581-ENSBTAG00000039292",0.7812
28,"ENSBTAG00000022514-ENSBTAG00000013730",0.7812
