	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
PR_Cont_4	53508.6036895985	53750.7696024601	50983.0159814118	51300.8990934821	55587.7628545603	51285.1127003341	52639.0521148543	58383.7409302971	50707.0569971297	53981.1203420859	57402.5281926142	55001.479851871	56589.7730571211	58738.8002264926	56869.9999068515	54764.8633548397	60344.1592459578	61459.171141581	62139.9414289386	59904.3337997897	56116.0372403964	57776.3271725353	55386.7695862349	54231.1451296732	55601.3477818033	55575.9145554249	56276.3990144863
PR_Cont_5	53521.447733589	53790.9123484691	51063.8434613402	51387.653489729	55640.8515916605	51377.7543303848	52734.6366680377	58435.2663980836	50815.8139204267	53977.9727455859	57439.9987036371	55056.601371927	56636.7388307672	58704.2376325393	56857.1919548653	54794.8830895381	60331.9055867641	61449.2093102626	62142.1013872139	59921.7685335323	56140.8211629958	57853.5527062686	55437.9290778435	54275.6857664807	55623.8548724806	55597.1579020445	56344.8219100459
PR_Cont_6	52735.2462986119	52973.1939414408	50245.1692468545	50553.9216390357	54806.4388642036	50533.8757528638	51882.3743722803	57526.761135008	50000.6752542702	53142.9076725959	56602.5800041137	54176.8008577806	55787.4543090963	57888.6952738526	56027.9277552711	53977.9479029667	59431.0727179158	60554.8561954768	61225.0819674391	59116.3263950612	55287.3854480767	56890.127064234	54607.3929633932	53469.6807619906	54793.0547593377	54814.9591555174	55521.2790109912
nonPR_Cont_1	52150.9261494504	52378.8812246564	49751.0583927704	50017.2054359893	54202.788725767	49990.3879284455	51377.4770646065	56843.8974913309	49469.1669510551	52597.1340014094	56005.0533104363	53610.2594702342	55186.9549763644	57221.5210470182	55389.4553049664	53393.9155725814	58757.6360417363	59871.9960279565	60560.8758242845	58422.0588058394	54667.6581434028	56309.1627455713	53969.0291063418	52896.7382066078	54193.0210653124	54176.3898063829	54854.7208674469
nonPR_Cont_2	52854.3708783055	53118.5022737606	50409.2651543553	50681.5475344126	54879.7307302357	50663.2653404627	51958.4685071072	57674.3109765865	50102.8445052019	53243.8499324227	56748.9216189514	54330.1142327116	55847.5024777993	58007.054149968	56184.5910866183	54109.0310105742	59587.7622412172	60739.06503416	61387.8719986968	59231.7323912788	55431.5607078578	57105.1342932219	54704.4067952976	53581.8504335171	54899.0593002116	54850.5806723276	55636.7743606307
nonPR_Cont_3	51932.7302640558	52094.9443114034	49545.4977161108	49805.4078144774	53989.9786865272	49742.5035938776	51149.0707129249	56603.3325006901	49243.7812067817	52387.938842343	55758.8837402173	53374.2779093638	55000.6701443166	57000.0567814212	55147.5497280029	53187.1598674782	58513.6045602594	59629.0529174305	60342.5164258769	58181.4154657031	54416.387909751	56099.9542325819	53747.398072514	52651.3625900382	53921.5423259134	53942.9400122676	54633.1573152175
nonPR_Cont_4	51757.3631637463	52009.0573229519	49346.0705478495	49695.5712628049	53801.1006764901	49670.4828243976	50963.4070044482	56481.1157822891	49101.2774837819	52214.0880583474	55522.0802373426	53208.065597136	54717.1477360749	56789.5862407287	54988.373390115	52988.0991897469	58348.2525766497	59406.1598969277	60105.0868247216	57939.3652757561	54302.3066102107	55930.2050270391	53581.2177994476	52467.2475597785	53774.9762893491	53772.5491557056	54454.1097125007
nonPR_Cont_5	52434.8424348857	52610.6534134738	49989.7365827819	50242.1639526575	54468.9837003589	50189.2518105875	51550.9756236714	57101.1435380264	49635.3715540237	52832.1231645727	56280.6546293977	53848.6453241153	55480.6754239211	57477.80204521	55631.348376432	53588.5974377812	59030.1339008378	60190.8065765519	60853.1251836304	58707.5505663583	54941.0624489105	56647.030121019	54260.4924525271	53062.928148055	54354.507739722	54457.0076267714	55167.5316252342
nonPR_Cont_6	51312.7107099917	51471.4442566634	48923.9333330841	49208.9304352333	53353.6671638414	49155.2604907855	50529.925982524	55902.841466179	48619.8696296181	51730.4687820986	55009.3454592702	52736.0134046422	54337.8485199966	56280.9867270916	54490.3473698841	52524.1106486947	57834.6476009183	58915.8872260785	59573.7927911824	57481.9095965992	53799.3843737302	55416.6308046194	53055.0356067966	52010.6556490683	53293.3371707017	53282.8409668005	53952.3364253711
nonPR_Sim2_1	52717.3775068925	52921.039048073	50224.4837285936	50598.448794261	54836.070895434	50494.3867544207	51818.6891173254	57541.9071523015	49947.2377842533	53150.7064791646	56572.450760339	54231.6002013953	55888.1648944148	57759.5461272141	56006.2839430261	53935.7846137952	59419.682343274	60545.0110166138	61301.4547803768	59052.172194776	55269.395692316	57078.5397690998	54544.8144543007	53439.5271527988	54745.0375341897	54821.8381715218	55440.9857175951
nonPR_Sim2_2	51036.2665612355	51198.5774095165	48705.9588755814	48956.2189812163	53024.8817891971	48932.0144017638	50219.4521349124	55703.8820505181	48398.0337006996	51495.6773448758	54806.3173558844	52489.3970026444	54025.496679917	55984.5512986374	54265.243093122	52248.4485420135	57521.9701770003	58568.2664608174	59229.6532145728	57225.123555956	53532.4813476433	55112.2390847555	52820.8324257287	51746.9645284765	53022.0729520338	53044.8805369501	53708.1577886823
nonPR_Sim2_3	53139.0400481524	53361.1943459012	50612.6326503266	50974.5318470837	55206.9864270953	50915.4593160189	52292.9713666037	57988.1351720971	50367.674673088	53594.1643141903	57012.7478704612	54608.9523923924	56199.6932502974	58238.57695919	56450.5337294103	54393.2774000914	59841.8043629671	60988.1582885933	61663.4178534259	59439.3559466561	55718.0693428306	57422.3945053256	54972.3613379267	53898.3815837466	55147.116412493	55156.5563673817	55905.037852761
PR_Sim2_1	53153.1651338983	53281.5343001419	50657.5882987148	50996.4959998771	55401.6577219649	50917.9385674123	52303.8182271633	57877.0119081694	50306.6685881878	53560.8653929438	57138.6363901796	54808.2468244811	56400.9614661131	58257.8959377523	56405.2887977119	54350.8962041714	59894.8369736413	61073.357265559	61863.4934658793	59414.8631833276	55666.7799787326	57655.4642319483	55013.5593867307	53754.8254256487	55163.9450358442	55242.3293290897	55882.541281827
PR_Sim2_2	53233.1104167118	53512.4596252817	50782.3253006569	51128.5789361542	55484.1886558367	51030.3153596416	52373.5212023432	58214.3344851625	50493.3157849881	53712.365807042	57194.8795057409	54895.0454217926	56472.9720295346	58423.3933012148	56666.5543497768	54458.8019624159	60081.0473586798	61181.8359708363	61864.9995661073	59666.2807416948	55907.5268822544	57655.8850843561	55149.7700474258	54001.1652412908	55302.4669844436	55402.8176063215	56015.051156565
PR_Sim2_3	51445.2175305649	51650.4157105408	49099.3011573106	49407.6370512381	53519.5572579756	49383.5715394209	50681.3188814314	56146.1975310913	48817.1133646708	51896.5730041303	55229.4625927138	52903.474705465	54501.2700299822	56508.2669042442	54682.5880790364	52737.9901932972	58030.1792227217	59115.817256034	59800.7585539591	57690.3152053551	53957.8054391036	55610.6423067566	53237.2346876516	52211.0834480867	53497.0915449687	53447.2329990098	54172.5819634601
