	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
nonPR_Cont_1	54708.8328592708	59949.8347606611	59683.2886133918	56204.3056305962	53006.2492393703	60167.1186538701	57557.6586064516	61763.9151660307	58423.6578843703	59088.2551405812	63523.7393030519	55428.3985040771	52854.2128889623	55859.0370134156	58572.4931972685	58327.9093135865	61454.10147022	62481.3866183692	62377.3174358035	59311.5115773122	60409.7997112044	60959.3132042227	63163.1800628776	61235.6560271998	59715.6742796293	63764.9498509112
nonPR_Cont_2	55459.3298662	60827.2140453326	60459.9099288622	56834.3528721597	53558.2563161831	60966.0661770786	58292.3957400497	62586.7478277232	59191.7341269331	59832.7361034984	64424.9642769446	56065.8342843032	53583.5608026554	56528.0908120978	59291.7185467207	59155.1144864717	62227.0020955684	63348.1961880155	63242.5164220428	60143.8798519807	61197.1866918848	61761.2296546637	63995.1258728184	62051.8620025244	60469.012585047	64633.656881492
nonPR_Cont_3	54482.7739591251	59837.7861537006	59525.7838411099	55978.7990373463	52832.4084970743	59979.1588080906	57381.9111371826	61588.9093445555	58206.5789380032	58884.3552166381	63343.8254007663	55235.0164068757	52655.7518412325	55645.8380413758	58392.0975883708	58167.1473273749	61287.1115628773	62325.0470366782	62212.1268951136	59102.2197267735	60222.0460508664	60759.8299548039	63032.8832231429	61002.8357534592	59487.5388973884	63588.3730156471
nonPR_Cont_4	54258.5958293073	59514.716665661	59234.8951650872	55667.0037310361	52513.5973980858	59674.1065604877	57138.6100439508	61265.8736941413	58002.5381122661	58610.3866031886	63043.8620289639	54930.59261702	52426.2661942383	55330.9621624569	58073.9889468284	57897.1269060594	60920.5122516757	62023.5659134341	61937.6280290773	58871.5537729077	59880.2345661553	60461.9165893727	62673.784567018	60764.8135912481	59185.991295894	63296.5159404721
nonPR_Cont_5	55006.6532615426	60346.4026573753	60060.4750876708	56495.0437343743	53336.5298237967	60521.2051833252	57925.0948388718	62143.1887150063	58728.0715555178	59423.3014014991	63865.1886190782	55731.8907996532	53189.6960231359	56179.731102154	58938.4714745704	58714.3217027118	61799.8761488186	62844.2163067911	62788.3439873128	59576.8305662445	60703.2221803088	61288.4609909498	63573.2538377206	61565.5319505636	60000.7485385253	64137.5137072384
nonPR_Cont_6	53848.9994264912	59034.3635105806	58734.0534145922	55307.0494909044	52244.9176909878	59194.6000954083	56706.1347644867	60797.8953331117	57527.0630997226	58185.2564476271	62513.7396413587	54579.0584374325	52040.2294111977	54995.0672980055	57682.6457335256	57431.9572424237	60504.4969833727	61518.0666224183	61409.0693429601	58377.4237783885	59462.6298038501	59994.4548650486	62229.054040829	60256.4938446442	58749.4706230503	62788.0054970117
nonPR_Sim2_1	55409.6007716964	60752.6245446783	60493.6497068041	56867.6706163648	53616.7326192643	60955.000678504	58334.7120637687	62541.4207938434	59116.9414943539	59818.1035436804	64328.9673186895	56113.3907761074	53575.6104458962	56580.568390888	59321.4303054414	59147.4368546586	62196.3946928061	63322.9161040767	63189.7477454717	60009.4738938171	61114.1832222475	61718.8896650525	63996.506966646	61982.4754661599	60369.7823804996	64608.4125000702
nonPR_Sim2_2	53492.4378931616	58648.4899870988	58343.9593925912	54949.5169698893	51789.329826618	58808.054438035	56288.7127946898	60449.5828731694	57148.6395205138	57781.1456526734	62137.5445475609	54189.2991935332	51672.0168628069	54607.4031142207	57248.0974397704	57029.6597616892	60101.1422841146	61078.571474754	61040.4493436157	58051.2966833356	59080.5157759398	59647.3459854586	61794.4780594714	59889.0528471558	58437.5434794512	62341.7909178907
nonPR_Sim2_3	55686.8075703516	61102.3115933394	60779.334259768	57100.3876144484	53926.8718158899	61290.0607927691	58602.9014940843	62882.1116733677	59485.5596130206	60149.1949406562	64713.5773762212	56298.8395629467	53789.465196386	56858.5991829078	59548.7724126405	59412.9453279339	62560.6716687006	63720.3747763588	63573.833541284	60408.8356632628	61504.3550376154	62053.8097725437	64338.2559994364	62330.5173223629	60756.6368560562	64985.7415984943
PR_Sim2_1	56006.2232849076	61470.5710891793	61179.3434583056	57502.4315831884	54413.7708315105	61598.9466145693	59011.8253595872	63198.5839099196	59835.7297454521	60533.0809552306	65032.5960793947	56719.5829581999	54213.2728787629	57247.4346921467	60088.8942410734	59872.6063419376	62931.4038376807	63997.9180676875	63891.6543661348	60645.9276497759	61740.1497209723	62334.2145532074	64771.1618945393	62578.3939901719	60953.4559292742	65297.4916252097
PR_Sim2_2	55966.0326813311	61423.4004549182	61068.3970495141	57447.7905540171	54101.6389848466	61625.4926663824	58862.6376806371	63181.5658514656	59786.4864154905	60470.582742489	65040.7617409084	56656.5861608272	54071.5928892675	57114.5037919476	59888.3196134355	59759.9788585538	62869.4055428368	63956.4287854175	63825.4001682248	60743.94168326	61850.6581070496	62296.6529091257	64621.8105206571	62575.779192502	61071.0150126931	65239.2985727285
PR_Sim2_3	54018.2913541862	59247.9411486977	58963.63472258	55488.416877754	52300.0494673795	59444.1606210485	56841.9765349522	61009.2251112569	57721.7216826707	58378.496115988	62740.6995832904	54731.2895473418	52205.828466211	55149.4333483914	57843.8037664509	57618.1209626039	60708.5635189112	61729.7082627227	61661.1975744375	58603.8444143066	59659.6284865034	60226.6669335066	62424.9558018067	60493.4533226733	58979.1634253341	63001.7363484761
