ligand	receptor	d.ligand	d.receptor	ligand_ensembl	receptor_ensembl
NID1	ITGB1	nidogen 1	integrin subunit beta 1	ENSBTAG00000007244	ENSBTAG00000015910
NID1	ITGB3	nidogen 1	integrin subunit beta 3	ENSBTAG00000007244	ENSBTAG00000009987
NID1	PTPRF	nidogen 1	protein tyrosine phosphatase receptor type F	ENSBTAG00000007244	ENSBTAG00000000253
NID2	COL13A1	nidogen 2	collagen type XIII alpha 1 chain	ENSBTAG00000021945	ENSBTAG00000011741
NLGN1	NRXN1	neuroligin 1	neurexin 1	ENSBTAG00000031891	ENSBTAG00000046199
NLGN1	NRXN2	neuroligin 1	neurexin 2	ENSBTAG00000031891	ENSBTAG00000000244
NLGN1	NRXN3	neuroligin 1	neurexin 3	ENSBTAG00000031891	ENSBTAG00000025324
NLGN2	NRXN1	neuroligin 2	neurexin 1	ENSBTAG00000020252	ENSBTAG00000046199
NLGN2	NRXN2	neuroligin 2	neurexin 2	ENSBTAG00000020252	ENSBTAG00000000244
NLGN2	NRXN3	neuroligin 2	neurexin 3	ENSBTAG00000020252	ENSBTAG00000025324
NLGN3	NRXN1	neuroligin 3	neurexin 1	ENSBTAG00000007708	ENSBTAG00000046199
NLGN3	NRXN2	neuroligin 3	neurexin 2	ENSBTAG00000007708	ENSBTAG00000000244
NLGN3	NRXN3	neuroligin 3	neurexin 3	ENSBTAG00000007708	ENSBTAG00000025324
NMB	BRS3	neuromedin B	bombesin receptor subtype 3	ENSBTAG00000058029	ENSBTAG00000005616
NMB	GRPR	neuromedin B	gastrin releasing peptide receptor	ENSBTAG00000058029	ENSBTAG00000007092
NMB	NMBR	neuromedin B	neuromedin B receptor	ENSBTAG00000058029	ENSBTAG00000043954
NMS	ADRA2A	neuromedin S	adrenoceptor alpha 2A	ENSBTAG00000034184	ENSBTAG00000039292
NMS	GRM7	neuromedin S	glutamate metabotropic receptor 7	ENSBTAG00000034184	ENSBTAG00000013047
NMS	MTNR1A	neuromedin S	melatonin receptor 1A	ENSBTAG00000034184	ENSBTAG00000046938
NMS	NMUR1	neuromedin S	neuromedin U receptor 1	ENSBTAG00000034184	ENSBTAG00000017684
NMS	NMUR2	neuromedin S	neuromedin U receptor 2	ENSBTAG00000034184	ENSBTAG00000011131
NMU	ADRA2A	neuromedin U	adrenoceptor alpha 2A	ENSBTAG00000074433	ENSBTAG00000039292
NMU	GRM7	neuromedin U	glutamate metabotropic receptor 7	ENSBTAG00000074433	ENSBTAG00000013047
NMU	MTNR1A	neuromedin U	melatonin receptor 1A	ENSBTAG00000074433	ENSBTAG00000046938
NMU	NMUR1	neuromedin U	neuromedin U receptor 1	ENSBTAG00000074433	ENSBTAG00000017684
NMU	NMUR2	neuromedin U	neuromedin U receptor 2	ENSBTAG00000074433	ENSBTAG00000011131
NODAL	ACVR1B	nodal growth differentiation factor	activin A receptor type 1B	ENSBTAG00000013090	ENSBTAG00000013555
NODAL	ACVR1C	nodal growth differentiation factor	activin A receptor type 1C	ENSBTAG00000013090	ENSBTAG00000019337
NODAL	ACVR2A	nodal growth differentiation factor	activin A receptor type 2A	ENSBTAG00000013090	ENSBTAG00000018114
NODAL	ACVR2B	nodal growth differentiation factor	activin A receptor type 2B	ENSBTAG00000013090	ENSBTAG00000018105
NODAL	SMAD3	nodal growth differentiation factor	SMAD family member 3	ENSBTAG00000013090	ENSBTAG00000012599
CCN3	NOTCH1	cellular communication network factor 3	notch receptor 1	ENSBTAG00000002080	ENSBTAG00000022799
CCN3	PLXNA1	cellular communication network factor 3	plexin A1	ENSBTAG00000002080	ENSBTAG00000009159
NPB	ADRA2A	neuropeptide B	adrenoceptor alpha 2A	ENSBTAG00000013898	ENSBTAG00000039292
NPB	GRM7	neuropeptide B	glutamate metabotropic receptor 7	ENSBTAG00000013898	ENSBTAG00000013047
NPB	MTNR1A	neuropeptide B	melatonin receptor 1A	ENSBTAG00000013898	ENSBTAG00000046938
NPB	NPBWR1	neuropeptide B	neuropeptides B and W receptor 1	ENSBTAG00000013898	ENSBTAG00000016159
NPB	NPBWR2	neuropeptide B	neuropeptides B and W receptor 2	ENSBTAG00000013898	ENSBTAG00000047704
NPFF	NPFFR2	neuropeptide FF-amide peptide precursor	neuropeptide FF receptor 2	ENSBTAG00000002401	ENSBTAG00000009070
NPNT	ITGA8	nephronectin	integrin subunit alpha 8	ENSBTAG00000006686	ENSBTAG00000007602
NPNT	ITGB1	nephronectin	integrin subunit beta 1	ENSBTAG00000006686	ENSBTAG00000015910
NPPA	NPR1	natriuretic peptide A	natriuretic peptide receptor 1	ENSBTAG00000006709	ENSBTAG00000006234
NPPA	NPR3	natriuretic peptide A	natriuretic peptide receptor 3	ENSBTAG00000006709	ENSBTAG00000007665
NPPB	NPR1	natriuretic peptide B	natriuretic peptide receptor 1	ENSBTAG00000021739	ENSBTAG00000006234
NPPB	NPR2	natriuretic peptide B	natriuretic peptide receptor 2	ENSBTAG00000021739	ENSBTAG00000011434
NPPB	NPR3	natriuretic peptide B	natriuretic peptide receptor 3	ENSBTAG00000021739	ENSBTAG00000007665
NPPC	NPR2	natriuretic peptide C	natriuretic peptide receptor 2	ENSBTAG00000003253	ENSBTAG00000011434
NPPC	NPR3	natriuretic peptide C	natriuretic peptide receptor 3	ENSBTAG00000003253	ENSBTAG00000007665
NPS	ADCYAP1R1	neuropeptide S	ADCYAP receptor type I	ENSBTAG00000054311	ENSBTAG00000020247
NPS	ADRB2	neuropeptide S	adrenoceptor beta 2	ENSBTAG00000054311	ENSBTAG00000002144
NPS	ADRB3	neuropeptide S	adrenoceptor beta 3	ENSBTAG00000054311	ENSBTAG00000017981
NPS	GPR20	neuropeptide S	G protein-coupled receptor 20	ENSBTAG00000054311	ENSBTAG00000015985
NPS	GPR84	neuropeptide S	G protein-coupled receptor 84	ENSBTAG00000054311	ENSBTAG00000015592
NPS	NPSR1	neuropeptide S	neuropeptide S receptor 1	ENSBTAG00000054311	ENSBTAG00000013768
NPS	PTH1R	neuropeptide S	parathyroid hormone 1 receptor	ENSBTAG00000054311	ENSBTAG00000016948
NPS	RAMP2	neuropeptide S	receptor activity modifying protein 2	ENSBTAG00000054311	ENSBTAG00000019903
NPS	RAMP3	neuropeptide S	receptor activity modifying protein 3	ENSBTAG00000054311	ENSBTAG00000020704
NPS	TSHR	neuropeptide S	thyroid stimulating hormone receptor	ENSBTAG00000054311	ENSBTAG00000017489
NPS	VIPR1	neuropeptide S	vasoactive intestinal peptide receptor 1	ENSBTAG00000054311	ENSBTAG00000006567
