	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
ENSBTAG00000000078	7.038690282	7.218275531	7.159113492	7.403061329	6.347055946	7.03442426	7.264006567	6.310307769	6.713974331	6.585057014	6.659155697	6.869251976	7.379986365	6.262907413	6.386000328	6.288963402	5.903956273	6.379490685	6.330527513	6.08796518	6.287946476	6.443889838	6.848476855	6.394047459	6.058707767	6.084507411	6.823991512
ENSBTAG00000000079	5.917039014	6.023981716	6.146608044	5.55898989	6.68704763	6.428407675	6.319462397	5.79007297	6.009403783	5.759969722	6.856823874	5.90133507	6.083273021	5.614951799	6.522664936	6.001055363	6.629567615	6.020537293	5.92469309	6.565602398	6.283693725	6.129417759	6.651403448	6.06216147	5.752579946	6.08563277	6.603532095
ENSBTAG00000000080	6.11243199	6.614746044	6.109992133	6.286074904	6.42879231	6.639651686	6.273967796	5.985833303	7.05722961	5.660121293	6.49752229	5.959231853	5.703643268	5.942788193	6.320092374	6.362405237	5.449865817	6.441312857	6.089835873	5.899554943	6.518775803	5.538083583	6.295128218	6.598545258	6.367679702	6.102487249	6.074190738
ENSBTAG00000000081	7.728920139	7.142200567	7.2238943	7.388011098	7.48738923	7.226033737	6.945296545	6.988121602	7.718843431	7.338967558	6.957533576	6.594595684	7.060234206	7.382106696	7.068883852	7.004064663	6.962825076	6.407995899	6.999347561	6.375733249	6.843404782	7.101538037	7.296776653	6.835729752	7.194089856	6.062092346	7.106841912
ENSBTAG00000000082	5.162648868	4.604277425	4.797651401	5.341776229	5.193206697	4.659693054	5.663098166	5.145017289	5.059166696	5.184393329	5.069635427	5.268048015	5.39261303	5.28507584	4.82105389	5.477589649	5.353757968	5.567655639	6.282486136	5.927803691	5.11029661	5.575525051	4.952211973	5.533386892	5.283171118	5.521607268	5.275722727
ENSBTAG00000000084	7.092519618	6.354335452	6.95722928	7.378073856	7.125494202	7.103150248	7.269431146	6.866605076	7.635801472	6.473300461	6.991273925	7.630532437	7.553418498	7.017795584	6.983616671	7.123969862	5.93520288	6.764383065	6.655786095	6.275430178	6.897871594	6.539549535	6.840677218	7.264825033	6.951879247	6.849485984	6.229788863
ENSBTAG00000000085	4.63304558	5.175782562	5.187791548	4.566666422	5.023311972	4.926709997	4.697782618	4.729237781	4.485791921	4.649865627	4.667673956	5.011647232	4.729431567	5.152709774	4.995969386	4.939805314	5.086328929	4.791543078	5.48415958	4.873224707	5.08236474	4.56275553	4.662009587	5.073280052	4.931378684	4.592503721	5.066437192
ENSBTAG00000000087	8.637684119	8.201453437	8.290690402	7.885016906	8.283570639	8.070260631	7.750896672	8.510667826	8.658812398	8.267333233	8.1575538	8.157877805	8.173221831	7.98912278	8.290185643	8.375421484	7.179526685	7.874630136	7.339074615	7.437709914	8.06894686	7.350539185	7.926909768	8.016056275	7.890250391	7.898826051	7.363561694
ENSBTAG00000000088	4.685660976	5.353780887	4.658666748	5.696410834	4.629309074	4.978354993	4.750184094	4.781535315	4.782510851	5.774517103	4.720174924	5.063011556	5.255580531	5.293267875	5.42749707	5.478637146	6.014382359	5.49373422	5.493181881	6.018158729	5.143964811	4.87517487	5.173802353	5.423111207	5.30255023	5.459108052	5.796538524
ENSBTAG00000000090	5.516496037	5.032537298	5.431028799	5.751343959	4.9791824	5.089402186	6.008980388	5.061298777	5.452883346	4.845505709	4.86616716	4.921593505	5.759229219	5.560097081	5.594480929	5.737473266	6.219071371	5.945773558	5.790994558	5.757230141	5.258358747	5.920378378	5.543694913	5.314844983	5.490781747	5.522444312	5.931698651
ENSBTAG00000000091	8.081466899	7.780512992	7.915590181	8.280237121	7.74404637	8.193994751	7.943914621	7.44679357	8.054742324	7.576834565	7.936018745	7.679836385	7.735172938	7.229709503	7.632127183	7.942376295	7.63067273	7.758990295	7.703089425	7.296511573	8.398336929	7.603498431	8.54629556	8.191131784	9.203361486	8.607725896	7.70689947
ENSBTAG00000000092	5.993274694	6.926773221	5.368837964	6.263737237	6.228083583	5.984463398	6.001706113	6.100301023	6.169775882	6.247891594	5.725981325	6.352825684	5.87659932	6.480518571	5.668387863	5.815574982	5.747740269	5.597780793	5.851119894	6.391498055	5.74573844	5.725462171	5.585060284	6.035856479	5.991899705	5.802285778	5.930820163
ENSBTAG00000000094	5.891084294	5.928275564	5.795098932	5.951453564	6.199370368	6.178011948	5.5571596	5.976036657	6.079912585	5.727816928	6.003124271	5.843720471	6.262377968	6.238288423	5.986869198	6.061987946	5.501335939	5.953846892	5.850994797	5.243125489	6.027883542	5.259889721	6.031760615	6.072313201	5.906624733	5.62514101	5.782965047
ENSBTAG00000000095	4.707027642	4.780149577	5.774746957	5.333992031	6.210905622	5.401150379	4.77428344	5.539053869	4.554044704	5.602942752	6.261880967	5.524228068	5.114778506	5.004172259	5.092939357	4.972628066	6.023374571	4.848060531	5.057371872	5.436548211	5.109957119	5.650715925	5.058297553	4.91160823	4.865415771	5.455860051	5.230891598
ENSBTAG00000000097	7.598137274	7.427689952	7.299245133	6.928726041	7.06116374	6.943468257	6.404880749	6.523184299	7.525768185	7.327453901	6.449204626	6.248771681	6.920847871	6.475030797	7.53264213	7.249695804	6.71309632	6.550641054	7.179149065	6.412387256	7.154051714	5.568255767	7.120981163	6.884271796	7.207787347	6.946983531	6.792913093
